id,dienbienca,nhanvien
229fa961,6a9f4728,1
99e285da,ed0a1e92,1
b9c314e7,530fbfe0,1
bb894297,68d3b26b,6eb760de
c3be37a2,8f57e401,1
31db49ee,93012b85,1
a1e80792,e8f8d7c5,6eb760de
b9576b0b,d51db9f7,2414884e
45a6feec,45ff18b2,a782b548
8c63e66d,00049537,2414884e
0eba67fa,3afaddb8,a782b548
268e3f6e,d8e4f76c,a782b548
58856014,ab4b6885,66618670
3c2bc618,ab4b6885,d6c4ddf3
43d8a8f7,ab4b6885,b6220f5c
4d958264,ff4d1b3a,bc812b63
54f88f00,cc58483b,a782b548
7a6f225f,cc58483b,09659890
bff44405,2c513d80,a782b548
c8b41bbe,2c513d80,09659890
e2f5e19d,75bd6e46,2414884e
f2cf4ef7,72f6ca72,040b166c
dcb184d7,4b314fd3,6eb760de
6b3caada,fe6b4ca7,1
9cf41b90,399531cb,2414884e
a7124f84,e6d3ff2e,a782b548
23855585,b8e401f2,5fe580be
7382b67c,b8e401f2,ce1e9417
5cb054fd,25ab5765,2
325f64fa,1aa3fef4,2
29017a05,1aa3fef4,1e6859b8
7883f0d1,d8370b20,ce1e9417
fad75f41,d8370b20,1e6859b8
b5f085c0,d8370b20,2
a3016a03,df905b4e,54f23832
4e7737a1,df905b4e,2
fa568592,842bbb0b,1e6859b8
4e7bc3bf,842bbb0b,1b836613
50be6ef0,842bbb0b,09659890
7eb3d44e,e342a0dd,09659890
04fd1bd4,e342a0dd,040b166c
00965e7f,9c9467ec,2
268cc93b,7ac08637,2414884e
8b8b772e,fa82385e,2414884e
7f5b46c7,0745717b,a782b548
bb2fc0e4,5fb5d56e,a782b548
ef83bd43,958f6136,1cbc08bf
b34c28ff,958f6136,66618670
c4f13e81,958f6136,d6c4ddf3
9aafaa6a,0f6d8225,1ecd3cd8
bc7a7589,8af907c9,1b836613
8f4dbc1d,8af907c9,8cd029d1
155bf338,62fe1ebe,1b836613
808b3c5e,62fe1ebe,21827101
02e1c4ca,0b754df2,09659890
791de06c,0b754df2,21827101
363ff114,0b754df2,09659890
e344186b,43b817e5,a782b548
d636fadf,43b817e5,2414884e
12bd0084,74c22e69,2414884e
3c04b974,ee1e6ca7,a782b548
04f74a86,ef96a2bf,2414884e
4627bc1a,a21bece0,a782b548
8f0ca6d0,f4be3e94,d6c4ddf3
0ee8adff,f4be3e94,1cbc08bf
7ca7fe0f,f4be3e94,2d0946d8
f9b48d52,56678d22,2
e02d17a5,56678d22,0ebf75ce
6de3020a,56678d22,8aaf08ce
80c77e5c,56678d22,f8397ada
e315c88f,9825b2ec,2a776990
647349d1,9825b2ec,3bf3960f
c6548309,bb19f954,21827101
4a3d0dbd,bb19f954,1b836613
7779bf60,cfbe0f3f,2414884e
d9c0f5d0,a7b05c7c,09659890
c1d50eff,a7b05c7c,a782b548
a37dc9bb,f3263817,09659890
e3f693b9,f3263817,a782b548
fd469b7e,7c26f987,1b836613
aedfff5d,7c26f987,a782b548
3576e4b2,bb3f033c,a782b548
8133a2f4,da972406,2414884e
34beb103,0f8841ee,a782b548
64d1b0cc,c00b6e7d,a8f5e11b
c581a3f4,724ed7a8,a8f5e11b
18588451,724ed7a8,a782b548
b2fb157a,724ed7a8,1e6859b8
0ca70ea7,fb701371,2414884e
aae251e1,6e0f8b07,f769d378
1f1897cd,7bac06fa,2414884e
44bdabe5,8b51e9fb,a782b548
1a48208a,5ddf6283,e81f5efa
c11de64e,dc909d3e,d6c4ddf3
eaed0316,dc909d3e,06b3bbaf
044297ae,dc909d3e,1cbc08bf
bb1203e7,ad9a3374,bc812b63
0f0fac94,92820138,ce1e9417
2f1afa05,831ff212,9b76ebee
543b0ebf,831ff212,9e472a0c
e2bdbb9c,831ff212,a8f5e11b
f8df2b81,c9d7f86d,2414884e
f36992f8,e25cf309,040b166c
b89a856b,9ef260b5,2414884e
b9bfc0ba,4e54b8f1,a782b548
47ea8120,230f4e5c,"8,36E+26"
4d73b280,230f4e5c,a8f5e11b
9d3f2fcc,0dabae04,e85ebd9b
7eafb4ee,0dabae04,1cbc08bf
8ca5a4e3,0dabae04,d6c4ddf3
c7e9f5e0,05bd9d84,00dd5294
cdbad6f4,05bd9d84,1e6859b8
2f897276,a8fb7e47,2414884e
99a67787,c2fafb7f,a782b548
e7e9917f,1fd02ac9,2414884e
4bf43520,5b583e0c,a782b548
e9d099db,071cc145,a8f5e11b
930577b4,649be332,a782b548
d11f514e,649be332,a8f5e11b
68f789ee,51a73c6e,2414884e
05a68671,51a73c6e,a782b548
a72807a7,b52465cf,09659890
e3288f8f,b52465cf,21827101
5f27b532,2786c16f,09659890
234a465b,2786c16f,21827101
2e0086a7,fe5c869e,a6e2979c
8ebeb294,a14562bd,1
48c9c72a,3a5e24c1,1
8d8c773e,c81a7649,a782b548
08bf4f58,8a895a4e,a6e2979c
2108b8b2,f8713b0a,a8f5e11b
6bd2b07b,fd846ae7,d6c4ddf3
ce5b39a4,fd846ae7,66618670
31e56403,fd846ae7,1cbc08bf
840165bc,a92ecc13,2a776990
87b52162,a5e9cd1f,09659890
c1f37712,a5e9cd1f,1e6859b8
130733de,83c2db2c,a6e2979c
9e41365a,ff4165b2,a782b548
f7768f79,90732f36,1
0cf24931,434bb02b,1
5b9d6e80,cc6df6d6,a6e2979c
